"memberid","fullname","date","amount","partnercode","loyaltyprogramme","refcode"
"5762531332","abcd","Tue Jun 07 2022 00:00:00 GMT+0000 (Coordinated Universal Time)",454,"Daddy's bank","Sands Group",
"1234567890","as","Mon Nov 07 2022 00:00:00 GMT+0000 (Coordinated Universal Time)",111,"Daddy's bank","Sands Group",
"123456789","as","Mon Nov 07 2022 00:00:00 GMT+0000 (Coordinated Universal Time)",11,"Daddy's bank","Sands Group",
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,2044
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,2044
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20226160
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20226160
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20227160
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20227161
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20227162
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20227163
"1111","ddy","Thu Nov 10 2011 16:00:00 GMT+0000 (Coordinated Universal Time)",1112,"OCBC",,20227164
"1111111111","lmao","17/7/2022",69,"Daddy's bank","Star Alliance",20227170
"111111111","wwww","17/7/2022",13,"Daddy's bank","Sands Group",20227170
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227170
"1234123412","wwww","17/7/2022",3,"Daddy's bank","Sands Group",20227171
"1234123412","wwww","17/7/2022",3,"Daddy's bank","Sands Group",20227172
"1111111111","lmao","17/7/2022",69,"Daddy's bank","Star Alliance",20227173
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227174
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227175
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227176
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227177
"111111111","lmao","17/7/2022",98,"Daddy's bank","Sands Group",20227178
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"1111","ddy","11/11/11",1112,"OCBC",,20227171
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"1111","ddy","11/11/11",1112,"OCBC",,20227170
"343434344","lmaox2","17/7/2022",343,"Daddy's bank","Sands Group",20227179
"343434344","lmaox2","17/7/2022",343,"Daddy's bank","Sands Group",20227170
"1212121111","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227171
"1212121111","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227170
"1212121111","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227170
"121333333","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227170
"121333333","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227171
"121333333","lmaox2","17/7/2022",333,"Daddy's bank","Sands Group",20227172
"1234567890","wwww","17/7/2022",99,"Daddy's bank","Sands Group",20227173
"1234567890","wwww","17/7/2022",6,"Daddy's bank","Star Alliance",20227174
"1234567890","a","17/7/2022",8,"Daddy's bank","SIA",20227175
"1234567890","wwww","17/7/2022",9,"Daddy's bank","Sands Group",20227176
"1234567890","wwww","17/7/2022",9,"Daddy's bank","Sands Group",20227177
"1234567890","yy","17/7/2022",23,"Daddy's bank","Sands Group",20227178
"1234567890","s","17/7/2022",7,"Daddy's bank","Sands Group",20227179
"1234567890","wwww","17/7/2022",11,"Daddy's bank","SIA",202271710
"1234567890","wwww","17/7/2022",99,"Daddy's bank","SIA",202271711
"1234567890","a","17/7/2022",1,"Daddy's bank","Star Alliance",20227170
"1234567890","test","17/7/2022",2,"Daddy's bank","Sands Group",20227171
"7548796542","Deez","17/7/2022",456,"Daddy's bank","Sands Group",20227170
